SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue
FIN,EUR,2009,4.8,2009
USA,AMR,2000,1,2000
ITA,EUR,2001,0.8,2001
AZE,EUR,2008,0.6,2008
HUN,EUR,2012,3.1,2012
AZE,EUR,1994,1.1,1994
WSM,WPR,2008,0.7,2008
USA,AMR,2009,0.9,2009
NOR,EUR,2013,2.3,2013
SGP,WPR,2012,0.3,2012
RUS,EUR,2007,1.7,2007
ITA,EUR,1995,0.8,1995
HUN,EUR,2010,1.1,2010
NOR,EUR,1993,4.2,1993
SWE,EUR,2001,3.1,2001
CAN,AMR,2009,2.1,2009
RUS,EUR,2013,1.7,2013
GBR,EUR,2006,5.2,2006
PHL,WPR,2015,0.5,2015
ALB,EUR,2007,2.1,2007
UKR,EUR,2010,1.6,2010
CAN,AMR,2012,1.1,2012
CAN,AMR,1991,2.2,1991
TJK,EUR,2006,0.2,2006
KGZ,EUR,1990,3.9,1990
ARM,EUR,1994,2.2,1994
ISL,EUR,2003,3.2,2003
CYP,EUR,1991,0.6,1991
GBR,EUR,1996,6.2,1996
AUS,WPR,2015,2.3,2015
HRV,EUR,2014,1.3,2014
DNK,EUR,2011,1.6,2011
UKR,EUR,2011,1.4,2011
ALB,EUR,2014,1.6,2014
FIN,EUR,2005,4.6,2005
GBR,EUR,2012,1.6,2012
AUT,EUR,2012,1.4,2012
SVN,EUR,2008,1,2008
UZB,EUR,1993,2.9,1993
RUS,EUR,2008,1.6,2008
POL,EUR,1992,7.2,1992
ARM,EUR,2004,1.6,2004
UKR,EUR,2014,1.5,2014
PLW,WPR,1990,5.4,1990
NOR,EUR,2012,2.2,2012
MEX,AMR,2006,2,2006
GBR,EUR,1991,6.5,1991
CAN,AMR,1994,2.2,1994
HRV,EUR,2005,1.6,2005
SWE,EUR,2009,2.9,2009
ZAF,AFR,1992,7.8,1992
BLR,EUR,1991,5.9,1991
ARM,EUR,2012,1.5,2012
GBR,EUR,2002,5.8,2002
AUT,EUR,2001,1.4,2001
UKR,EUR,2008,1.5,2008
CZE,EUR,2012,1.1,2012
EST,EUR,2003,2.1,2003
AUT,EUR,2010,1.4,2010
ITA,EUR,2010,0.7,2010
UZB,EUR,1990,2.9,1990
ROU,EUR,2009,4,2009
LTU,EUR,2008,2.5,2008
ISL,EUR,2006,2.8,2006
JPN,WPR,1996,1.2,1996
AUT,EUR,2005,1.4,2005
SVN,EUR,2000,1.1,2000
