SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PRICE,BEER_PRICE,WINE_PRICE
AFG,EMR,2012,2012,0.0,0.0,0.0
AGO,AFR,2012,2012,9.44,1.59,1.79
ALB,EUR,2012,2012,158.93,4.58,4.25
AND,EUR,2012,2012,11.89,1.22,7.86
ARE,EMR,2012,2012,0.0,0.0,0.0
ARG,AMR,2012,2012,32.57,0.76,1.24
ARM,EUR,2012,2012,69.38,0.77,3.11
ATG,AMR,2012,2012,0.0,0.0,0.0
AUS,WPR,2012,2012,75.68,3.69,16.37
AUT,EUR,2012,2012,0.0,0.0,0.0
AZE,EUR,2012,2012,13.18,0.51,1.91
BDI,AFR,2012,2012,12.43,0.62,11.7
BEL,EUR,2012,2012,0.0,0.0,0.0
BEN,AFR,2012,2012,9.5,0.8,1.73
BFA,AFR,2012,2012,0.0,0.94,1.44
BGD,SEAR,2012,2012,67.18,1.95,14.59
BGR,EUR,2012,2012,22.509999999999998,0.9,6.76
BHR,EMR,2012,2012,0.0,0.0,0.0
BHS,AMR,2012,2012,14.76,2.65,6.0
BIH,EUR,2012,2012,19.299999999999997,0.97,5.15
BLR,EUR,2012,2012,13.52,0.72,2.57
BLZ,AMR,2012,2012,5.52,1.84,3.16
BOL,AMR,2012,2012,0.0,3.01,2.85
BRA,AMR,2012,2012,26.26,1.08,10.05
BRB,AMR,2012,2012,0.0,0.0,0.0
BRN,WPR,2012,2012,0.0,0.0,0.0
BTN,SEAR,2012,2012,23.36,0.72,13.83
BWA,AFR,2012,2012,0.0,1.26,5.12
CAF,AFR,2012,2012,28.78,1.02,3.49
CAN,AMR,2012,2012,47.58,2.05,16.63
CHE,EUR,2012,2012,33.57,1.31,6.29
CHL,AMR,2012,2012,13.07,1.15,3.49
CHN,WPR,2012,2012,361.1,1.31,23.62
CIV,AFR,2012,2012,0.0,1.02,2.4
CMR,AFR,2012,2012,15.83,0.74,1.44
COD,AFR,2012,2012,9.05,0.91,2.3
COG,AFR,2012,2012,10.42,0.51,1.23
COK,WPR,2012,2012,26.2,2.84,17.84
COL,AMR,2012,2012,0.0,0.0,0.0
COM,AFR,2012,2012,115.11,3.49,4.22
CPV,AFR,2012,2012,23.97,1.47,2.28
CRI,AMR,2012,2012,7.4,2.86,10.01
CUB,AMR,2012,2012,0.0,0.0,0.0
CYP,EUR,2012,2012,0.0,0.0,0.0
CZE,EUR,2012,2012,31.509999999999998,0.48,2.38
DEU,EUR,2012,2012,0.0,0.0,0.0
DJI,EMR,2012,2012,0.0,0.0,0.0
DMA,AMR,2012,2012,14.85,0.83,5.22
DNK,EUR,2012,2012,47.129999999999995,1.28,5.92
DOM,AMR,2012,2012,10.23,0.98,5.48
DZA,AFR,2012,2012,204.32999999999998,1.52,10.13
ECU,AMR,2012,2012,0.0,0.0,0.0
EGY,EMR,2012,2012,0.0,0.0,0.0
ERI,AFR,2012,2012,0.0,1.09,2.54
ESP,EUR,2012,2012,19.02,0.94,0.57
EST,EUR,2012,2012,36.57,1.13,5.53
ETH,AFR,2012,2012,2.26,0.85,1.97
FIN,EUR,2012,2012,52.44,1.47,8.6
FJI,WPR,2012,2012,0.0,0.0,0.0
FRA,EUR,2012,2012,0.0,0.0,0.0
FSM,WPR,2012,2012,0.0,0.97,0.0
GAB,AFR,2012,2012,1.73,0.74,1.73
GEO,EUR,2012,2012,0.0,0.0,0.0
GHA,AFR,2012,2012,6.970000000000001,0.86,1.36
GIN,AFR,2012,2012,0.0,1.52,1.93
GMB,AFR,2012,2012,4.2,2.4,4.2
GNB,AFR,2012,2012,21.58,1.45,1.44
GNQ,AFR,2012,2012,4.32,1.02,1.15
GRC,EUR,2012,2012,34.38,1.26,9.44
GRD,AMR,2012,2012,6.72,0.85,4.79
GTM,AMR,2012,2012,21.03,2.15,1.91
GUY,AMR,2012,2012,0.0,0.0,0.0
HND,AMR,2012,2012,0.0,0.0,0.0
HRV,EUR,2012,2012,25.169999999999998,0.95,4.28
HTI,AMR,2012,2012,0.0,0.0,0.0
HUN,EUR,2012,2012,34.43,0.75,1.63
IDN,SEAR,2012,2012,111.25,1.94,30.56
IND,SEAR,2012,2012,77.53999999999999,0.62,7.21
IRL,EUR,2012,2012,0.0,0.0,0.0
IRN,EMR,2012,2012,0.0,0.0,0.0
IRQ,EMR,2012,2012,0.0,0.0,0.0
ISL,EUR,2012,2012,72.88,2.79,6.29
ISR,EUR,2012,2012,15.3,3.09,10.2
ITA,EUR,2012,2012,44.76,3.34,3.15
JAM,AMR,2012,2012,15.82,2.06,15.82
JOR,EMR,2012,2012,0.0,0.0,0.0
JPN,WPR,2012,2012,0.0,0.0,0.0
KAZ,EUR,2012,2012,0.0,0.0,0.0
KEN,AFR,2012,2012,67.74,1.43,4.75
KGZ,EUR,2012,2012,3.17,0.85,3.38
KHM,WPR,2012,2012,0.0,0.0,0.0
KIR,WPR,2012,2012,73.72,3.89,10.08
KNA,AMR,2012,2012,16.9,2.36,10.73
KWT,EMR,2012,2012,0.0,0.0,0.0
LAO,WPR,2012,2012,0.47,0.67,27.5
LBN,EMR,2012,2012,0.0,0.0,0.0
LBR,AFR,2012,2012,3.6,2.04,7.41
LBY,EMR,2012,2012,0.0,0.0,0.0
LCA,AMR,2012,2012,38.15,2.96,11.11
LKA,SEAR,2012,2012,23.92,1.2,11.21
LSO,AFR,2012,2012,3.67,0.9,4.89
LTU,EUR,2012,2012,24.23,0.84,5.96
LUX,EUR,2012,2012,11.54,1.41,5.29
LVA,EUR,2012,2012,26.020000000000003,0.9,6.01
MAR,EMR,2012,2012,0.0,0.0,0.0
MCO,EUR,2012,2012,0.0,0.0,0.0
MDA,EUR,2012,2012,12.28,1.06,7.54
MDG,AFR,2012,2012,0.0,0.0,0.0
MDV,SEAR,2012,2012,0.0,0.0,0.0
MEX,AMR,2012,2012,11.21,1.16,7.47
MHL,WPR,2012,2012,0.0,0.0,0.0
MKD,EUR,2012,2012,12.93,1.22,0.31
MLI,AFR,2012,2012,9.5,1.96,21.58
MLT,EUR,2012,2012,22.92,2.52,3.96
MMR,SEAR,2012,2012,29.04,1.18,1.37
MNE,EUR,2012,2012,31.15,0.69,1.7
MNG,WPR,2012,2012,41.199999999999996,2.8,15.14
MOZ,AFR,2012,2012,20.630000000000003,1.61,3.59
MRT,AFR,2012,2012,0.0,0.0,0.0
MUS,AFR,2012,2012,35.78,1.36,2.17
MWI,AFR,2012,2012,4.2,1.4,7.84
MYS,WPR,2012,2012,72.63,1.68,47.41
NAM,AFR,2012,2012,0.0,1.06,0.0
NER,AFR,2012,2012,20.869999999999997,1.1,4.32
NGA,AFR,2012,2012,15.93,1.02,3.06
NIC,AMR,2012,2012,2.97,1.21,10.62
NIU,WPR,2012,2012,37.33,2.94,17.2
NLD,EUR,2012,2012,0.0,0.0,0.0
NOR,EUR,2012,2012,92.49000000000001,3.8,20.09
NPL,SEAR,2012,2012,37.64,1.89,6.43
NRU,WPR,2012,2012,0.0,0.0,0.0
NZL,WPR,2012,2012,0.0,0.0,0.0
OMN,EMR,2012,2012,0.0,0.0,0.0
PAK,EMR,2012,2012,0.0,0.0,0.0
PAN,AMR,2012,2012,15.0,1.6,8.0
PER,AMR,2012,2012,17.28,2.68,12.19
PHL,WPR,2012,2012,0.0,0.0,0.0
PLW,WPR,2012,2012,1.99,1.57,7.44
PNG,WPR,2012,2012,0.0,0.0,0.0
POL,EUR,2012,2012,8.78,0.86,2.71
PRK,SEAR,2012,2012,0.0,0.0,0.0
PRT,EUR,2012,2012,21.94,1.14,2.63
PRY,AMR,2012,2012,12.540000000000001,0.88,2.2
QAT,EMR,2012,2012,0.0,0.0,0.0
ROU,EUR,2012,2012,26.509999999999998,0.71,2.97
RUS,EUR,2012,2012,42.61,0.92,11.06
RWA,AFR,2012,2012,43.2,3.02,0.94
SAU,EMR,2012,2012,0.0,0.0,0.0
SDN,EMR,2012,2012,0.0,0.0,0.0
SEN,AFR,2012,2012,5.18,1.45,2.16
SGP,WPR,2012,2012,0.0,0.0,0.0
SLB,WPR,2012,2012,0.0,0.0,0.0
SLE,AFR,2012,2012,7.7,1.21,2.57
SLV,AMR,2012,2012,15.0,0.76,10.0
SMR,EUR,2012,2012,20.61,2.29,1.63
SOM,EMR,2012,2012,0.0,0.0,0.0
SRB,EUR,2012,2012,7.09,4.01,0.96
STP,AFR,2012,2012,11.94,0.92,2.31
SUR,AMR,2012,2012,6.07,1.3,5.15
SVK,EUR,2012,2012,0.0,0.77,2.12
SVN,EUR,2012,2012,38.07,1.38,2.04
SWE,EUR,2012,2012,62.36,1.57,5.56
SWZ,AFR,2012,2012,0.0,0.9,0.0
SYC,AFR,2012,2012,42.21,3.19,7.87
SYR,EMR,2012,2012,15.91,0.7,1.87
TCD,AFR,2012,2012,15.83,1.0,2.16
TGO,AFR,2012,2012,0.0,0.73,0.0
THA,SEAR,2012,2012,13.27,1.08,8.48
TJK,EUR,2012,2012,0.0,0.0,0.0
TKM,EUR,2012,2012,0.0,0.0,0.0
TLS,SEAR,2012,2012,3.38,1.92,69.12
TON,WPR,2012,2012,30.27,2.41,11.21
TTO,AMR,2012,2012,40.62,3.98,3.84
TUN,EMR,2012,2012,0.0,0.0,0.0
TUR,EUR,2012,2012,54.55,1.41,3.94
TUV,WPR,2012,2012,0.0,2.46,0.0
UGA,AFR,2012,2012,38.3,1.41,24.19
UKR,EUR,2012,2012,4.85,0.5,3.05
URY,AMR,2012,2012,21.75,1.25,2.25
USA,AMR,2012,2012,0.0,0.0,0.0
UZB,EUR,2012,2012,0.0,0.0,0.0
VCT,AMR,2012,2012,42.61,2.69,0.0
VEN,AMR,2012,2012,67.25,0.56,4.45
VNM,WPR,2012,2012,36.52,0.57,0.0
VUT,WPR,2012,2012,0.0,0.0,0.0
WSM,WPR,2012,2012,0.0,0.0,0.0
