SpatialDim,ParentLocationCode,TimeDimensionValue,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA
AFG,EMR,2018,0.1,0.4,0.2
AGO,AFR,2018,3.1,11.1,6.9
ALB,EUR,2018,2.7,11.6,7.2
AND,EUR,2018,5.2,17.2,11.0
ARE,EMR,2018,0.8,4.9,3.9
ARG,AMR,2018,4.7,14.9,9.7
ARM,EUR,2018,2.6,9.1,5.6
ATG,AMR,2018,2.9,10.3,6.4
AUS,WPR,2018,5.2,16.0,10.5
AUT,EUR,2018,5.8,18.5,12.0
AZE,EUR,2018,1.5,7.5,4.4
BDI,AFR,2018,2.8,11.9,7.2
BEL,EUR,2018,5.3,17.2,11.1
BEN,AFR,2018,1.1,4.5,2.8
BFA,AFR,2018,4.2,20.2,12.0
BGD,SEAR,2018,0.0,0.0,0.0
BGR,EUR,2018,5.7,20.2,12.7
BHR,EMR,2018,0.3,1.5,1.1
BHS,AMR,2018,2.1,7.6,4.8
BIH,EUR,2018,2.7,11.8,7.2
BLR,EUR,2018,5.4,18.7,11.5
BLZ,AMR,2018,2.6,9.9,6.2
BOL,AMR,2018,2.1,6.8,4.4
BRA,AMR,2018,3.3,11.8,7.4
BRB,AMR,2018,4.1,16.0,9.7
BRN,WPR,2018,0.2,0.7,0.5
BTN,SEAR,2018,0.2,0.7,0.4
BWA,AFR,2018,2.5,10.9,6.6
CAF,AFR,2018,1.0,3.9,2.4
CAN,AMR,2018,4.1,14.0,8.9
CHE,EUR,2018,5.6,17.7,11.5
CHL,AMR,2018,4.4,13.9,9.1
CHN,WPR,2018,3.0,10.9,7.1
CIV,AFR,2018,1.1,4.3,2.7
CMR,AFR,2018,2.4,9.0,5.7
COD,AFR,2018,0.8,3.2,2.0
COG,AFR,2018,4.0,14.6,9.3
COK,WPR,2018,0.0,0.0,0.0
COL,AMR,2018,2.4,9.3,5.7
COM,AFR,2018,0.2,1.2,0.7
CPV,AFR,2018,2.4,8.8,5.6
CRI,AMR,2018,2.0,7.8,4.9
CUB,AMR,2018,2.4,9.3,5.8
CYP,EUR,2018,4.8,16.9,10.8
CZE,EUR,2018,7.0,22.3,14.5
DEU,EUR,2018,6.2,19.9,12.9
DJI,EMR,2018,0.1,0.8,0.4
DMA,AMR,2018,4.6,18.1,11.2
DNK,EUR,2018,4.9,15.8,10.3
DOM,AMR,2018,2.8,10.7,6.7
DZA,AFR,2018,0.3,1.6,0.9
ECU,AMR,2018,2.0,6.4,4.2
EGY,EMR,2018,0.1,0.6,0.4
ERI,AFR,2018,0.5,2.4,1.4
ESP,EUR,2018,5.8,20.1,12.7
EST,EUR,2018,4.4,15.0,9.2
ETH,AFR,2018,0.8,3.9,2.4
FIN,EUR,2018,5.1,16.8,10.8
FJI,WPR,2018,1.1,5.5,3.3
FRA,EUR,2018,5.8,19.2,12.3
FSM,WPR,2018,0.8,4.1,2.5
GAB,AFR,2018,4.0,13.2,8.7
GBR,EUR,2018,5.4,17.8,11.5
GEO,EUR,2018,3.6,13.6,8.3
GHA,AFR,2018,1.2,4.4,2.8
GIN,AFR,2018,0.3,1.9,1.1
GMB,AFR,2018,1.2,6.1,3.6
GNB,AFR,2018,2.0,9.0,5.4
GNQ,AFR,2018,3.3,10.1,7.2
GRC,EUR,2018,4.5,16.2,10.2
GRD,AMR,2018,3.9,15.1,9.5
GTM,AMR,2018,1.0,4.0,2.5
GUY,AMR,2018,2.7,11.0,6.9
HND,AMR,2018,1.5,6.1,3.8
HRV,EUR,2018,4.2,14.7,9.2
HTI,AMR,2018,1.1,4.5,2.7
HUN,EUR,2018,5.4,18.1,11.4
IDN,SEAR,2018,0.2,1.0,0.6
IND,SEAR,2018,1.9,9.0,5.5
IRL,EUR,2018,6.4,19.6,12.9
IRN,EMR,2018,0.3,1.8,1.0
IRQ,EMR,2018,0.1,0.7,0.4
ISL,EUR,2018,4.3,13.9,9.1
ISR,EUR,2018,1.9,6.6,4.2
ITA,EUR,2018,3.5,12.5,7.8
JAM,AMR,2018,1.7,6.8,4.2
JOR,EMR,2018,0.2,1.2,0.7
JPN,WPR,2018,3.9,12.3,8.0
KAZ,EUR,2018,1.9,7.9,4.8
KEN,AFR,2018,1.1,4.6,2.8
KGZ,EUR,2018,2.0,10.8,6.3
KHM,WPR,2018,2.7,10.9,6.6
KIR,WPR,2018,0.2,0.8,0.5
KNA,AMR,2018,4.0,14.1,8.9
KOR,WPR,2018,4.8,14.7,9.7
KWT,EMR,2018,0.0,0.0,0.0
LAO,WPR,2018,4.6,17.1,10.7
LBN,EMR,2018,0.6,2.9,1.7
LBR,AFR,2018,2.5,9.7,6.1
LBY,EMR,2018,0.0,0.0,0.0
LCA,AMR,2018,4.4,17.2,10.6
LKA,SEAR,2018,1.7,6.8,4.1
LSO,AFR,2018,1.6,7.9,4.6
LTU,EUR,2018,6.6,21.3,13.2
LUX,EUR,2018,6.4,19.5,12.9
