SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PER_CAPITA,BEER_PER_CAPITA,WINE_PER_CAPITA,OTHER_ALCOHOL_PER_CAPITA,ALL_ALCOHOLS_PER_CAPITA
AFG,EMR,1961,1961,0.0,0.0,0.0,0,0.0
AFG,EMR,1962,1962,0.0,0.0,0.0,0,0.0
AFG,EMR,1963,1963,0.0,0.0,0.0,0,0.0
AFG,EMR,1964,1964,0.0,0.0,0.0,0,0.0
AFG,EMR,1965,1965,0.0,0.0,0.0,0,0.0
AFG,EMR,1966,1966,0.0,0.0,0.0,0,0.0
AFG,EMR,1967,1967,0.0,0.0,0.0,0,0.0
AFG,EMR,1968,1968,0.0,0.0,0.0,0,0.0
AFG,EMR,1969,1969,0.0,0.0,0.0,0,0.0
AFG,EMR,1970,1970,0.0,0.0,0.0,0,0.0
AFG,EMR,1971,1971,0.0,0.0,0.0,0,0.0
AFG,EMR,1972,1972,0.0,0.0,0.0,0,0.0
AFG,EMR,1973,1973,0.0,0.0,0.0,0,0.0
AFG,EMR,1974,1974,0.0,0.0,0.0,0,0.0
AFG,EMR,1975,1975,0.0,0.0,0.0,0,0.0
AFG,EMR,1976,1976,0.0,0.0,0.0,0,0.0
AFG,EMR,1977,1977,0.0,0.0,0.0,0,0.0
AFG,EMR,1978,1978,0.0,0.0,0.0,0,0.0
AFG,EMR,1979,1979,0.0,0.0,0.0,0,0.0
AFG,EMR,1980,1980,0.0,0.0,0.0,0,0.0
AFG,EMR,1981,1981,0.0,0.0,0.0,0,0.0
AFG,EMR,1982,1982,0.0,0.0,0.0,0,0.0
AFG,EMR,1983,1983,0.0,0.0,0.0,0,0.0
AFG,EMR,1984,1984,0.0,0.0,0.0,0,0.0
AFG,EMR,1985,1985,0.0,0.0,0.0,0,0.0
AFG,EMR,1986,1986,0.0,0.0,0.0,0,0.0
AFG,EMR,1987,1987,0.0,0.0,0.0,0,0.0
AFG,EMR,1988,1988,0.0,0.0,0.0,0,0.0
AFG,EMR,1989,1989,0.0,0.0,0.0,0,0.0
AFG,EMR,1990,1990,0.0,0.0,0.0,0,0.0
AFG,EMR,1991,1991,0.0,0.0,0.0,0,0.0
AFG,EMR,1992,1992,0.0,0.0,0.0,0,0.0
AFG,EMR,1993,1993,0.0,0.0,0.0,0,0.0
AFG,EMR,1994,1994,0.0,0.0,0.0,0,0.0
AFG,EMR,1995,1995,0.0,0.0,0.0,0,0.0
AFG,EMR,1996,1996,0.0,0.0,0.0,0,0.0
AFG,EMR,1997,1997,0.0,0.0,0.0,0,0.0
AFG,EMR,1998,1998,0.0,0.0,0.0,0,0.0
AFG,EMR,1999,1999,0.0,0.0,0.0,0,0.0
AFG,EMR,2000,2000,0.0,0.0,0.0,0,0.0
AFG,EMR,2001,2001,0.0,0.0,0.0,0,0.0
AFG,EMR,2002,2002,0.0,0.0,0.0,0,0.02
AFG,EMR,2003,2003,0.02,0.0,0.0,0,0.02
AFG,EMR,2004,2004,0.0,0.04,0.0,0,0.04
AFG,EMR,2005,2005,0.02,0.02,0.0,0,0.04
AFG,EMR,2006,2006,0.03,0.02,0.01,0,0.06
AFG,EMR,2007,2007,0.02,0.02,0.01,0,0.05
AFG,EMR,2008,2008,0.04,0.02,0.0,0,0.06
AFG,EMR,2009,2009,0.02,0.02,0.0,0,0.04
AFG,EMR,2010,2010,0.02,0.02,0.0,0,0.04
AFG,EMR,2011,2011,0.03,0.02,0.0,0,0.05
AFG,EMR,2012,2012,0.03,0.02,0.0,0,0.05
AFG,EMR,2013,2013,0.02,0.02,0.0,0,0.04
AFG,EMR,2014,2014,0.02,0.01,0.0,0,0.03
AFG,EMR,2015,2015,0.02,0.01,0.0,0,0.02
AGO,AFR,1961,1961,1.3,0.72,3.36,0,5.37
AGO,AFR,1962,1962,1.2,0.91,2.38,0,4.49
AGO,AFR,1963,1963,0.76,1.01,2.93,0,4.7
AGO,AFR,1964,1964,0.47,0.94,3.5,0,4.92
AGO,AFR,1965,1965,0.36,0.95,4.01,0,5.31
AGO,AFR,1966,1966,0.3,1.12,4.35,0,5.76
AGO,AFR,1967,1967,0.29,1.09,3.87,0,5.25
AGO,AFR,1968,1968,0.55,1.2,3.65,0,5.39
AGO,AFR,1969,1969,0.51,1.38,3.62,0,5.51
AGO,AFR,1970,1970,0.75,1.48,3.2,0,5.43
AGO,AFR,1971,1971,0.89,1.65,2.37,0,4.9
AGO,AFR,1972,1972,0.68,1.72,1.9,0,4.31
AGO,AFR,1973,1973,1.18,1.9,1.66,0,4.74
AGO,AFR,1974,1974,0.29,1.68,1.73,0,3.69
AGO,AFR,1975,1975,0.34,1.3,0.8,0,2.44
AGO,AFR,1976,1976,0.42,1.51,0.39,0,2.32
AGO,AFR,1977,1977,0.36,1.33,0.19,0,1.88
AGO,AFR,1978,1978,0.27,1.36,0.05,0,1.67
AGO,AFR,1979,1979,0.21,1.27,0.22,0,1.7
AGO,AFR,1980,1980,0.21,1.19,0.33,0,1.73
AGO,AFR,1981,1981,0.49,1.48,0.49,0,2.46
AGO,AFR,1982,1982,0.38,1.21,0.37,0,1.96
AGO,AFR,1983,1983,0.37,0.85,0.52,0,1.75
AGO,AFR,1984,1984,0.35,1.02,0.57,0,1.94
AGO,AFR,1985,1985,0.39,0.84,0.83,0,2.06
AGO,AFR,1986,1986,0.48,0.9,0.32,0,1.69
AGO,AFR,1987,1987,0.48,0.91,0.24,0,1.63
AGO,AFR,1988,1988,0.58,0.73,0.58,0,1.89
AGO,AFR,1989,1989,0.59,0.87,0.82,0,2.29
AGO,AFR,1990,1990,0.54,0.64,0.65,0,2.12
AGO,AFR,1991,1991,0.6,0.44,0.78,0,2.14
AGO,AFR,1992,1992,0.55,0.58,1.22,0,2.36
AGO,AFR,1993,1993,0.32,0.55,0.69,0,1.55
AGO,AFR,1994,1994,0.38,0.61,0.73,0,1.72
AGO,AFR,1995,1995,0.48,0.64,0.56,0,1.68
AGO,AFR,1996,1996,0.49,0.77,0.49,0,1.75
AGO,AFR,1997,1997,0.44,0.96,0.81,0,2.2
AGO,AFR,1998,1998,0.42,0.81,0.91,0,2.13
AGO,AFR,1999,1999,0.42,0.77,0.39,0,1.59
AGO,AFR,2000,2000,0.38,2.06,1.1800000000000002,0,3.62
AGO,AFR,2001,2001,0.45,2.7199999999999998,1.8699999999999999,0,5.03
AGO,AFR,2002,2002,0.47,3.01,1.97,0,5.4399999999999995
AGO,AFR,2003,2003,0.49,3.0300000000000002,2.84,0,6.37
AGO,AFR,2004,2004,0.42000000000000004,3.3200000000000003,3.16,0,6.92
AGO,AFR,2005,2005,0.16,5.52,4.029999999999999,0,9.719999999999999
AGO,AFR,2006,2006,0.16999999999999998,6.3,4.8,0,11.280000000000001
AGO,AFR,2007,2007,0.8699999999999999,6.720000000000001,4.949999999999999,0,12.57
AGO,AFR,2008,2008,0.9299999999999999,7.5600000000000005,5.43,0,13.97
AGO,AFR,2009,2009,1.0699999999999998,9.17,3.6,0,13.899999999999999
AGO,AFR,2010,2010,1.6600000000000001,9.870000000000001,3.7800000000000002,0,15.469999999999999
AGO,AFR,2011,2011,1.5699999999999998,10.350000000000001,3.92,0,15.920000000000002
AGO,AFR,2012,2012,1.51,10.75,4.06,0,16.380000000000003
AGO,AFR,2013,2013,2.2,10.44,3.37,0,16.119999999999997
AGO,AFR,2014,2014,2.6799999999999997,10.54,3.97,0,17.33
AGO,AFR,2015,2015,0.7,3.66,1.24,0,5.65
AGO,AFR,2016,2016,0.53,3.3,0.83,0,4.7
ALB,EUR,1962,1962,0.41,0.49,0.28,0,1.17
ALB,EUR,1963,1963,0.2,0.52,0.19,0,0.91
ALB,EUR,1964,1964,0.26,0.52,0.26,0,1.04
ALB,EUR,1965,1965,0.33,0.5,0.21,0,1.04
ALB,EUR,1966,1966,0.38,0.51,0.13,0,1.03
ALB,EUR,1967,1967,0.49,0.49,0.19,0,1.17
ALB,EUR,1968,1968,0.55,0.53,0.36,0,1.44
ALB,EUR,1969,1969,0.73,0.54,0.47,0,1.73
ALB,EUR,1970,1970,0.79,0.47,0.51,0,1.77
ALB,EUR,1971,1971,0.59,0.48,0.13,0,1.2
ALB,EUR,1972,1972,0.82,0.52,0.23,0,1.56
ALB,EUR,1973,1973,0.72,0.53,0.34,0,1.59
ALB,EUR,1974,1974,0.87,0.52,0.19,0,1.58
ALB,EUR,1975,1975,0.69,0.52,0.14,0,1.35
ALB,EUR,1976,1976,0.69,0.5,0.14,0,1.33
ALB,EUR,1977,1977,0.74,0.46,0.16,0,1.37
ALB,EUR,1978,1978,0.85,0.5,0.3,0,1.65
ALB,EUR,1979,1979,0.76,0.48,0.16,0,1.4
ALB,EUR,1980,1980,0.91,0.44,0.44,0,1.79
ALB,EUR,1981,1981,0.97,0.46,0.4,0,1.84
ALB,EUR,1982,1982,0.86,0.45,0.2,0,1.51
ALB,EUR,1983,1983,0.94,0.45,0.29,0,1.68
ALB,EUR,1984,1984,0.9,0.43,0.25,0,1.58
ALB,EUR,1985,1985,0.86,0.51,0.23,0,1.6
ALB,EUR,1986,1986,0.57,0.57,0.24,0,1.39
ALB,EUR,1987,1987,0.64,0.58,0.41,0,1.63
ALB,EUR,1988,1988,0.74,0.56,0.37,0,1.67
ALB,EUR,1989,1989,0.75,0.52,0.46,0,1.73
ALB,EUR,1990,1990,0.96,0.42,0.65,0,2.03
ALB,EUR,1991,1991,0.49,0.18,0.61,0,1.28
ALB,EUR,1992,1992,0.6,0.09,0.67,0,1.35
ALB,EUR,1993,1993,0.32,0.52,0.66,0,1.49
ALB,EUR,1994,1994,0.82,1.27,0.68,0,2.77
ALB,EUR,1995,1995,0.81,1.01,1.05,0,2.87
ALB,EUR,1996,1996,1.16,0.59,1.37,0,3.12
ALB,EUR,1997,1997,0.77,0.48,0.98,0,2.22
ALB,EUR,1998,1998,0.42,0.46,0.62,0,1.54
ALB,EUR,1999,1999,0.59,0.83,0.76,0,2.19
ALB,EUR,2000,2000,4.04,2.59,1.0,0,7.640000000000001
ALB,EUR,2001,2001,4.15,2.91,1.9000000000000001,0,8.96
ALB,EUR,2002,2002,4.27,2.52,0.95,0,7.74
ALB,EUR,2003,2003,4.34,2.84,1.54,0,8.719999999999999
ALB,EUR,2004,2004,4.2,2.7,2.14,0,9.21
ALB,EUR,2005,2005,4.37,3.24,2.67,0,10.46
ALB,EUR,2006,2006,4.47,3.52,2.5700000000000003,0,10.77
ALB,EUR,2007,2007,4.619999999999999,3.8,2.71,0,11.34
ALB,EUR,2008,2008,4.64,4.16,2.42,0,11.43
ALB,EUR,2009,2009,4.74,4.28,2.58,0,11.83
ALB,EUR,2010,2010,4.62,3.33,2.62,0,10.81
ALB,EUR,2011,2011,4.63,3.6399999999999997,2.56,0,11.02
ALB,EUR,2012,2012,4.27,3.49,2.63,0,10.57
ALB,EUR,2013,2013,4.01,3.5,2.14,0,9.82
ALB,EUR,2014,2014,3.87,3.0300000000000002,2.26,0,9.32
ALB,EUR,2015,2015,1.94,1.57,1.17,0,4.77
ALB,EUR,2016,2016,1.9,1.74,1.34,0,5.07
