SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PERCENT,BEER_PERCENT,WINE_PERCENT,OTHER_ALCOHOL_PERCENT,SPIRITS_PER_CAPITA,BEER_PER_CAPITA,WINE_PER_CAPITA,OTHER_ALCOHOL_PER_CAPITA,ALL_ALCOHOLS_PER_CAPITA,PercentHouseholdExp,SPIRITS_PRICE,BEER_PRICE,WINE_PRICE,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA,Most_Popular_Type_of_Spirit
AFG,EMR,2016,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,AFR,2016,2016,11.3,70.3,17.6,0.8,0.53,3.3,0.83,0,4.7,0,0,0,0,0,0,0,0
BDI,AFR,2016,2016,0.1,39.3,0.1,60.5,0,0,0,0,0,0,0,0,0,0,0,0,Liqueur
AND,EUR,2016,2016,23.9,34.1,42,0,2.41,3.43,4.22,0,10.06,0,0,0,0,0,0,0,0
BEN,AFR,2016,2016,13.1,63.7,9.6,13.6,0,0,0,0,0,0,0,0,0,0,0,0,Gin
BFA,AFR,2016,2016,5,18,2.7,74.2,0,0,0,0,0,0,0,0,0,0,0,0,Whisky
ARM,EUR,2016,2016,82.3,10.6,7,0,3.1,0.4,0.26,0,3.77,1.2,0,0,0,0,0,0,0
BWA,AFR,2016,2016,4.4,48.1,23.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,AFR,2016,2016,0,25.9,0.7,73.5,0,0,0,0,0,0,0,0,0,0,0,0,Whisky
AUT,EUR,2016,2016,14.9,53.5,31.6,0,0,0,0,0,0,1.3,0,0,0,0,0,0,Rum
CIV,AFR,2016,2016,0.2,21.9,5,72.9,0,0,0,0,0,0,0,0,0,0,0,0,Liqueur
CMR,AFR,2016,2016,0.1,43.5,1.4,54.9,0,0,0,0,0,0,0,0,0,0,0,0,Whisky
COD,AFR,2016,2016,0.7,38.9,0.6,59.9,0,0,0,0,0,0,0,0,0,0,0,0,Whisky
