Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4548508,SA_0000001476,COUNTRY,HUN,EUR,YEAR,Europe,,,2013,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HUN,3,3.0,,,,2018-10-25T13:07:08+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4539127,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,2004,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,2.1,2.1,,,,2018-10-25T13:07:00+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4539550,SA_0000001476,COUNTRY,NOR,EUR,YEAR,Europe,,,1995,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NOR,4.1,4.1,,,,2018-10-25T13:07:03+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
4519729,SA_0000001476,COUNTRY,MDA,EUR,YEAR,Europe,,,1992,,,,,DATASOURCE,DATASOURCE_SA_0000001476_MDA,2.2,2.2,,,,2018-10-25T13:07:09+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4529155,SA_0000001476,COUNTRY,NOR,EUR,YEAR,Europe,,,2001,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NOR,3.9,3.9,,,,2018-10-25T13:07:05+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4539107,SA_0000001476,COUNTRY,ISL,EUR,YEAR,Europe,,,1998,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ISL,3.2,3.2,,,,2018-10-25T13:07:03+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4529084,SA_0000001476,COUNTRY,CAN,AMR,YEAR,Americas,,,1997,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CAN,2,2.0,,,,2018-10-25T13:07:03+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4539070,SA_0000001476,COUNTRY,ARM,EUR,YEAR,Europe,,,2011,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ARM,1.8,1.8,,,,2018-10-25T13:07:08+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4548499,SA_0000001476,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2012,,,,,DATASOURCE,DATASOURCE_SA_0000001476_JPN,1.6,1.6,,,,2018-10-25T13:07:02+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4539116,SA_0000001476,COUNTRY,GRC,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_GRC,0.9,0.9,,,,2018-10-25T13:07:01+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
