Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4909442,SA_0000001523,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:58+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890030,SA_0000001523,COUNTRY,GHA,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,2.32,,,,,2014-01-03T08:39:20+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890050,SA_0000001523,COUNTRY,GRC,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,22.25,,,,,2014-01-03T08:38:38+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880303,SA_0000001523,COUNTRY,AUT,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898785,SA_0000001523,COUNTRY,LAO,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,0.67,,,,,2014-01-03T08:38:46+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889501,SA_0000001523,COUNTRY,FRA,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,,,,,missing data,2014-01-10T13:28:49+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909552,SA_0000001523,COUNTRY,VEN,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,11.42,,,,,2014-01-03T08:39:11+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880269,SA_0000001523,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898897,SA_0000001523,COUNTRY,NAM,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,1.06,,,,,2014-01-03T08:38:52+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880281,SA_0000001523,COUNTRY,AND,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:44+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
