Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3148831,SA_0000001398,COUNTRY,GEO,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,43,,,,,2018-09-21T08:24:00+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228489,SA_0000001398,COUNTRY,WSM,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,0,,,,,2018-09-21T08:24:16+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228495,SA_0000001398,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,0,,,,,2018-09-21T08:24:05+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148774,SA_0000001398,COUNTRY,DOM,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,41.9,,,,,2018-09-21T08:24:09+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148629,SA_0000001398,COUNTRY,BEN,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,13.6,,,,,2018-09-21T08:24:02+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187168,SA_0000001398,COUNTRY,HRV,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,39,,,,,2018-09-21T08:24:04+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148728,SA_0000001398,COUNTRY,COL,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,71.3,,,,,2018-09-21T08:24:09+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228444,SA_0000001398,COUNTRY,TUV,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,0.6,,,,,2018-09-21T08:24:14+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187389,SA_0000001398,COUNTRY,NOR,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,43.9,,,,,2018-09-21T08:24:11+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228286,SA_0000001398,COUNTRY,PHL,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,72,,,,,2018-09-21T08:24:12+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187419,SA_0000001398,COUNTRY,PER,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,31.8,,,,,2018-09-21T08:24:09+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187208,SA_0000001398,COUNTRY,ITA,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,64.8,,,,,2018-09-21T08:24:11+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228484,SA_0000001398,COUNTRY,VUT,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,38.5,,,,,2018-09-21T08:24:01+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148701,SA_0000001398,COUNTRY,CHL,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,0,,,,,2018-09-21T08:24:00+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148623,SA_0000001398,COUNTRY,BDI,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,0.1,,,,,2018-09-21T08:24:00+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148699,SA_0000001398,COUNTRY,CHE,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,48.1,,,,,2018-09-21T08:24:10+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
