Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5317889,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,IDN,YEAR,SEAR,South-East Asia,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317897,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,JAM,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317817,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,ARG,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Fernet,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317815,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,AND,YEAR,EUR,Europe,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317907,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342158,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Vodka,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317887,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,HTI,YEAR,AMR,Americas,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Rum,,,,Retail price and tax data collected as of 31 March 2023.,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5317864,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Whisky,,,,,2023-10-23T16:11:38+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342119,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,PHL,YEAR,WPR,Western Pacific,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,Gin,,,,,2023-10-23T16:11:40+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5342127,TAXBEV_MOSTSOLDSPIRIT,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,2022,BEVERAGE,BEVERAGE_BEV_SPIRITS,,,,,,,,,,2023-10-23T16:11:39+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
