Id_x,IndicatorCode_x,SpatialDimType_x,SpatialDim,ParentLocationCode_x,TimeDimType_x,ParentLocation_x,Dim1Type_x,Dim1_x,TimeDim_x,Dim2Type_x,Dim2_x,Dim3Type_x,Dim3_x,DataSourceDimType_x,DataSourceDim_x,Value_x,NumericValue_x,Low_x,High_x,Comments_x,Date_x,TimeDimensionValue,TimeDimensionBegin_x,TimeDimensionEnd_x,Id_y,IndicatorCode_y,SpatialDimType_y,TimeDimType_y,ParentLocationCode_y,ParentLocation_y,Dim1Type_y,Dim1_y,TimeDim_y,Dim2Type_y,Dim2_y,Dim3Type_y,Dim3_y,DataSourceDimType_y,DataSourceDim_y,Value_y,NumericValue_y,Low_y,High_y,Comments_y,Date_y,TimeDimensionBegin_y,TimeDimensionEnd_y
4529190,SA_0000001476,COUNTRY,USA,AMR,YEAR,Americas,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_USA,1,1.0,,,,2018-10-25T13:07:04+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289446,WHOSIS_000002,COUNTRY,YEAR,AMR,Americas,SEX,SEX_MLE,2000,,,,,,,64.6,64.5766,,,,2020-12-04T17:03:43+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4529190,SA_0000001476,COUNTRY,USA,AMR,YEAR,Americas,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_USA,1,1.0,,,,2018-10-25T13:07:04+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289445,WHOSIS_000002,COUNTRY,YEAR,AMR,Americas,SEX,SEX_FMLE,2000,,,,,,,67.0,66.96071,,,,2020-12-04T17:03:44+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4529190,SA_0000001476,COUNTRY,USA,AMR,YEAR,Americas,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_USA,1,1.0,,,,2018-10-25T13:07:04+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289468,WHOSIS_000002,COUNTRY,YEAR,AMR,Americas,SEX,SEX_BTSX,2000,,,,,,,65.8,65.8003,,,,2020-12-04T17:03:44+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4539200,SA_0000001476,COUNTRY,HUN,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HUN,1.1,1.1,,,,2018-10-25T13:07:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356082,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,68.4,68.37724,,,,2020-12-04T17:01:26+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539200,SA_0000001476,COUNTRY,HUN,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HUN,1.1,1.1,,,,2018-10-25T13:07:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5322907,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2010,,,,,,,63.0,63.01783,,,,2020-12-04T17:01:26+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539200,SA_0000001476,COUNTRY,HUN,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HUN,1.1,1.1,,,,2018-10-25T13:07:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5322906,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,65.8,65.76557,,,,2020-12-04T17:01:27+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539165,SA_0000001476,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_PHL,0.5,0.5,,,,2018-10-25T13:07:08+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5422853,WHOSIS_000002,COUNTRY,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2015,,,,,,,64.0,64.01112,,,,2020-12-04T17:02:48+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4539165,SA_0000001476,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_PHL,0.5,0.5,,,,2018-10-25T13:07:08+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5456075,WHOSIS_000002,COUNTRY,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2015,,,,,,,61.9,61.91336,,,,2020-12-04T17:02:49+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4539165,SA_0000001476,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_PHL,0.5,0.5,,,,2018-10-25T13:07:08+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5422854,WHOSIS_000002,COUNTRY,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2015,,,,,,,59.9,59.93903,,,,2020-12-04T17:02:48+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4529272,SA_0000001476,COUNTRY,UKR,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_UKR,1.6,1.6,,,,2018-10-25T13:07:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5389296,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,62.2,62.19735,,,,2020-12-04T17:03:42+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529272,SA_0000001476,COUNTRY,UKR,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_UKR,1.6,1.6,,,,2018-10-25T13:07:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5389261,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2010,,,,,,,58.5,58.50813,,,,2020-12-04T17:03:41+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529272,SA_0000001476,COUNTRY,UKR,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_UKR,1.6,1.6,,,,2018-10-25T13:07:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5389252,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,65.8,65.80828,,,,2020-12-04T17:03:41+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4548518,SA_0000001476,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUS,2.3,2.3,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5389407,WHOSIS_000002,COUNTRY,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2015,,,,,,,69.7,69.74165,,,,2020-12-04T16:59:52+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4548518,SA_0000001476,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUS,2.3,2.3,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5389316,WHOSIS_000002,COUNTRY,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2015,,,,,,,71.4,71.40141,,,,2020-12-04T16:59:52+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4548518,SA_0000001476,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUS,2.3,2.3,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5389341,WHOSIS_000002,COUNTRY,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2015,,,,,,,70.6,70.56129,,,,2020-12-04T16:59:52+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4548487,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:08+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5321410,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,71.4,71.4039,,,,2020-12-04T16:59:53+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4548487,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:08+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5321495,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,69.9,69.9159,,,,2020-12-04T16:59:54+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4548487,SA_0000001476,COUNTRY,AUT,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AUT,1.4,1.4,,,,2018-10-25T13:07:08+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5321496,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2010,,,,,,,68.3,68.33723,,,,2020-12-04T16:59:53+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529270,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.7,0.7,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356103,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,72.2,72.18626,,,,2020-12-04T17:01:37+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529270,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.7,0.7,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356096,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,71.1,71.14208,,,,2020-12-04T17:01:38+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529270,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.7,0.7,,,,2018-10-25T13:07:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356123,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2010,,,,,,,70.0,69.97733,,,,2020-12-04T17:01:37+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4529148,SA_0000001476,COUNTRY,SVN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SVN,1.1,1.1,,,,2018-10-25T13:07:02+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289410,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2000,,,,,,,69.1,69.12015,,,,2020-12-04T17:03:19+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4529148,SA_0000001476,COUNTRY,SVN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SVN,1.1,1.1,,,,2018-10-25T13:07:02+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289480,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2000,,,,,,,63.8,63.77006,,,,2020-12-04T17:03:19+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4529148,SA_0000001476,COUNTRY,SVN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SVN,1.1,1.1,,,,2018-10-25T13:07:02+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5289479,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2000,,,,,,,66.5,66.51585,,,,2020-12-04T17:03:20+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
