"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Eastern and Southern","AFE","2019","1.661","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Eastern and Southern","AFE","2015","1.738","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Eastern and Southern","AFE","2010","1.760","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Eastern and Southern","AFE","2005","1.911","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Eastern and Southern","AFE","2000","2.081","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Western and Central","AFW","2019","1.485","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Western and Central","AFW","2015","1.558","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Western and Central","AFW","2010","1.680","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Western and Central","AFW","2005","2.061","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Africa Western and Central","AFW","2000","2.045","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Arab World","ARB","2019","0.077","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Arab World","ARB","2015","0.086","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Arab World","ARB","2010","0.093","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Arab World","ARB","2005","0.091","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Arab World","ARB","2000","0.089","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Caribbean small states","CSS","2019","2.135","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Caribbean small states","CSS","2015","2.099","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Caribbean small states","CSS","2010","2.034","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Caribbean small states","CSS","2005","2.049","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Caribbean small states","CSS","2000","1.905","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Central Europe and the Baltics","CEB","2019","5.528","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Central Europe and the Baltics","CEB","2015","5.534","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Central Europe and the Baltics","CEB","2010","5.609","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Central Europe and the Baltics","CEB","2005","5.735","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Central Europe and the Baltics","CEB","2000","5.646","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Early-demographic dividend","EAR","2019","1.177","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Early-demographic dividend","EAR","2015","1.179","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Early-demographic dividend","EAR","2010","1.132","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Early-demographic dividend","EAR","2005","0.810","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","Early-demographic dividend","EAR","2000","0.767","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific","EAS","2019","2.171","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific","EAS","2015","2.610","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific","EAS","2010","2.226","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific","EAS","2005","1.568","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific","EAS","2000","1.615","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (excluding high income)","EAP","2019","2.047","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (excluding high income)","EAP","2015","2.529","female"
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","SH.ALC.PCAP.FE.LI","East Asia & Pacific (excluding high income)","EAP","2010","2.081","female"
